date,amount,transaction_type,category,merchant,description,payment_method
2025-11-29,499.92,Expense,Food,CAFE COFFEE DAY,Cafe Coffee Day purchase,UPI
2025-11-29,166.84,Expense,Transport,IRCTC TRAIN TICKET,Irctc Train Ticket purchase,Cash
2025-11-30,3201.94,Expense,Shopping,AMAZON,Amazon purchase,UPI
2025-12-02,1358.47,Expense,Bills,ELECTRICITY BILL,Electricity Bill purchase,Cash
2025-12-03,64414.62,Income,Salary,COMPANY PAYROLL,Monthly salary credit,Bank Transfer
2025-12-04,905.52,Expense,Bills,BROADBAND BILL,Broadband Bill,UPI
2025-12-04,621.19,Expense,Food,SWIGGY,Swiggy purchase,Card
2025-12-04,750.12,Expense,Food,CAFE COFFEE DAY,Cafe Coffee Day purchase,Card
2025-12-05,1036.02,Expense,Bills,MOBILE RECHARGE,Mobile Recharge purchase,Cash
2025-12-06,429.45,Expense,Bills,MOBILE RECHARGE,Mobile Recharge,Bank Transfer
2025-12-07,815.63,Expense,Food,ZOMATO,Zomato purchase,Bank Transfer
2025-12-07,1384.93,Expense,Bills,GAS CYLINDER,Gas Cylinder purchase,Bank Transfer
2025-12-07,675.28,Expense,Food,STARBUCKS,Starbucks purchase,Bank Transfer
2025-12-08,130.51,Expense,Transport,METRO CARD RECHARGE,Metro Card Recharge purchase,Bank Transfer
2025-12-08,5411.61,Expense,Education,UDEMY COURSE,Udemy Course purchase,UPI
2025-12-08,577.27,Expense,Food,BIGBASKET GROCERY,Bigbasket Grocery purchase,UPI
2025-12-09,1544.14,Expense,Bills,ELECTRICITY BILL,Electricity Bill,Bank Transfer
2025-12-09,12000.0,Expense,Bills,RENT PAYMENT,Rent Payment,Bank Transfer
2025-12-11,211.86,Expense,Food,CAFE COFFEE DAY,Cafe Coffee Day purchase,Bank Transfer
2025-12-12,614.61,Expense,Food,DOMINOS PIZZA,Dominos Pizza purchase,Card
2025-12-14,222.22,Expense,Transport,RAPIDO,Rapido purchase,UPI
2025-12-15,408.26,Expense,Transport,RAPIDO,Rapido purchase,UPI
2025-12-15,546.01,Expense,Food,BLINKIT,Blinkit purchase,UPI
2025-12-20,2017.81,Expense,Healthcare,DOCTOR CONSULTATION,Doctor Consultation purchase,Cash
2025-12-20,321.48,Expense,Transport,METRO CARD RECHARGE,Metro Card Recharge purchase,Cash
2025-12-20,3546.04,Expense,Education,UDEMY COURSE,Udemy Course purchase,Cash
2025-12-21,444.57,Expense,Transport,METRO CARD RECHARGE,Metro Card Recharge purchase,Card
2025-12-24,2360.08,Expense,Healthcare,LAB TEST,Lab Test purchase,Card
2025-12-25,48.66,Expense,Transport,PARKING FEE,Parking Fee purchase,Bank Transfer
2025-12-25,841.22,Expense,Food,MCDONALDS,Mcdonalds purchase,Cash
2025-12-26,2414.51,Expense,Healthcare,APOLLO PHARMACY,Apollo Pharmacy purchase,Card
2025-12-27,395.78,Expense,Food,STARBUCKS,Starbucks purchase,Cash
2025-12-28,218.98,Expense,Food,BLINKIT,Blinkit purchase,UPI
2025-12-29,3506.35,Expense,Education,UDEMY COURSE,Udemy Course purchase,UPI
2025-12-29,565.82,Expense,Bills,MOBILE RECHARGE,Mobile Recharge purchase,Bank Transfer
2025-12-30,3984.97,Expense,Shopping,AJIO,Ajio purchase,Card
2025-12-30,505.03,Expense,Food,CAFE COFFEE DAY,Cafe Coffee Day purchase,UPI
2025-12-31,320.75,Expense,Food,LOCAL GROCERY STORE,Local Grocery Store purchase,Cash
2025-12-31,994.8,Expense,Healthcare,DOCTOR CONSULTATION,Doctor Consultation purchase,Card
2026-01-01,1879.93,Expense,Bills,BROADBAND BILL,Broadband Bill purchase,Bank Transfer
2026-01-01,487.05,Expense,Transport,RAPIDO,Rapido purchase,UPI
2026-01-01,612.97,Expense,Food,ZOMATO,Zomato purchase,UPI
2026-01-01,3248.26,Expense,Shopping,DECATHLON,Decathlon purchase,Card
2026-01-02,387.98,Expense,Food,BIGBASKET GROCERY,Bigbasket Grocery purchase,UPI
2026-01-02,745.1,Expense,Education,BOOK STORE,Book Store purchase,Card
2026-01-03,64414.66,Income,Salary,COMPANY PAYROLL,Monthly salary credit,Bank Transfer
2026-01-03,538.82,Expense,Bills,MOBILE RECHARGE,Mobile Recharge,UPI
2026-01-03,461.79,Expense,Food,BLINKIT,Blinkit purchase,Card
2026-01-04,2781.5,Expense,Shopping,RELIANCE TRENDS,Reliance Trends purchase,UPI
2026-01-06,1220.32,Expense,Bills,ELECTRICITY BILL,Electricity Bill,Bank Transfer
2026-01-06,944.73,Expense,Bills,BROADBAND BILL,Broadband Bill,UPI
2026-01-07,662.95,Expense,Bills,GAS CYLINDER,Gas Cylinder purchase,Card
2026-01-08,12000.0,Expense,Bills,RENT PAYMENT,Rent Payment,Bank Transfer
2026-01-08,657.18,Expense,Healthcare,APOLLO PHARMACY,Apollo Pharmacy purchase,Cash
2026-01-09,122.38,Expense,Food,ZOMATO,Zomato purchase,Cash
2026-01-09,22000.0,Expense,Healthcare,HOSPITAL BILL,Unplanned hospital visit (synthetic demo anomaly),Card
2026-01-10,602.69,Expense,Food,CAFE COFFEE DAY,Cafe Coffee Day purchase,Card
2026-01-11,732.05,Expense,Food,MCDONALDS,Mcdonalds purchase,Bank Transfer
2026-01-11,302.08,Expense,Food,SWIGGY,Swiggy purchase,UPI
2026-01-11,1676.66,Expense,Bills,BROADBAND BILL,Broadband Bill purchase,UPI
2026-01-14,222.1,Expense,Food,DOMINOS PIZZA,Dominos Pizza purchase,Card
2026-01-14,208.28,Expense,Food,STARBUCKS,Starbucks purchase,Bank Transfer
2026-01-14,1351.02,Expense,Shopping,AMAZON,Amazon purchase,UPI
2026-01-15,1701.46,Expense,Healthcare,DOCTOR CONSULTATION,Doctor Consultation purchase,UPI
2026-01-17,422.74,Expense,Entertainment,AMAZON PRIME,Amazon Prime purchase,Cash
2026-01-17,178.73,Expense,Transport,UBER,Uber purchase,Card
2026-01-17,239.34,Expense,Transport,RAPIDO,Rapido purchase,UPI
2026-01-18,873.22,Expense,Education,COLLEGE FEE,College Fee purchase,Cash
2026-01-19,2348.5,Income,Other,FREELANCE PAYMENT,Freelance project payment,Bank Transfer
2026-01-21,567.96,Expense,Bills,BROADBAND BILL,Broadband Bill purchase,Bank Transfer
2026-01-21,1034.07,Expense,Other,MISCELLANEOUS,Miscellaneous purchase,Cash
2026-01-22,2716.34,Expense,Education,COLLEGE FEE,College Fee purchase,Bank Transfer
2026-01-24,556.81,Expense,Entertainment,SPOTIFY,Spotify purchase,Card
2026-01-24,387.18,Expense,Food,BIGBASKET GROCERY,Bigbasket Grocery purchase,Bank Transfer
2026-01-25,609.3,Expense,Education,COURSERA SUBSCRIPTION,Coursera Subscription purchase,Cash
2026-01-25,213.61,Expense,Food,ZOMATO,Zomato purchase,Bank Transfer
2026-01-26,560.34,Expense,Food,STARBUCKS,Starbucks purchase,Card
2026-01-27,400.24,Expense,Transport,RAPIDO,Rapido purchase,Cash
2026-01-27,455.77,Expense,Food,CAFE COFFEE DAY,Cafe Coffee Day purchase,Bank Transfer
2026-01-28,2277.57,Expense,Healthcare,MEDICAL STORE,Medical Store purchase,Card
2026-01-28,578.27,Expense,Transport,RAPIDO,Rapido purchase,UPI
2026-02-01,65697.6,Income,Salary,COMPANY PAYROLL,Monthly salary credit,Bank Transfer
2026-02-02,12000.0,Expense,Bills,RENT PAYMENT,Rent Payment,Bank Transfer
2026-02-03,1286.67,Expense,Bills,WATER BILL,Water Bill purchase,Card
2026-02-04,2064.0,Expense,Healthcare,APOLLO PHARMACY,Apollo Pharmacy purchase,Card
2026-02-06,780.64,Expense,Bills,BROADBAND BILL,Broadband Bill,Bank Transfer
2026-02-06,476.07,Expense,Bills,MOBILE RECHARGE,Mobile Recharge,UPI
2026-02-07,738.85,Expense,Food,MCDONALDS,Mcdonalds purchase,UPI
2026-02-07,311.27,Expense,Food,LOCAL GROCERY STORE,Local Grocery Store purchase,Card
2026-02-07,826.68,Expense,Bills,BROADBAND BILL,Broadband Bill purchase,Bank Transfer
2026-02-08,1803.11,Expense,Bills,ELECTRICITY BILL,Electricity Bill,Bank Transfer
2026-02-08,1862.48,Expense,Shopping,DECATHLON,Decathlon purchase,UPI
2026-02-08,474.79,Expense,Transport,IRCTC TRAIN TICKET,Irctc Train Ticket purchase,Cash
2026-02-08,359.46,Expense,Food,LOCAL GROCERY STORE,Local Grocery Store purchase,UPI
2026-02-09,3453.66,Expense,Shopping,DECATHLON,Decathlon purchase,Cash
2026-02-09,462.54,Expense,Transport,UBER,Uber purchase,Card
2026-02-11,1644.21,Expense,Shopping,RELIANCE TRENDS,Reliance Trends purchase,UPI
2026-02-11,3160.45,Expense,Bills,BROADBAND BILL,Broadband Bill purchase,Card
2026-02-12,6248.44,Income,Other,FREELANCE PAYMENT,Freelance project payment,Bank Transfer
2026-02-14,1287.77,Expense,Bills,BROADBAND BILL,Broadband Bill purchase,Bank Transfer
2026-02-15,349.5,Expense,Food,LOCAL GROCERY STORE,Local Grocery Store purchase,Cash
2026-02-15,3124.58,Expense,Shopping,MYNTRA,Myntra purchase,Bank Transfer
2026-02-15,1202.94,Expense,Bills,GAS CYLINDER,Gas Cylinder purchase,Cash
2026-02-15,3459.97,Expense,Shopping,AMAZON,Amazon purchase,Card
2026-02-16,72.23,Expense,Transport,METRO CARD RECHARGE,Metro Card Recharge purchase,Cash
2026-02-16,485.42,Expense,Food,LOCAL GROCERY STORE,Local Grocery Store purchase,Card
2026-02-17,4028.36,Expense,Shopping,RELIANCE TRENDS,Reliance Trends purchase,Cash
2026-02-21,654.79,Expense,Food,CAFE COFFEE DAY,Cafe Coffee Day purchase,Card
2026-02-21,523.35,Expense,Bills,BROADBAND BILL,Broadband Bill purchase,Card
2026-02-23,889.04,Expense,Food,CAFE COFFEE DAY,Cafe Coffee Day purchase,Bank Transfer
2026-02-23,149.57,Expense,Food,CAFE COFFEE DAY,Cafe Coffee Day purchase,Cash
2026-02-26,277.56,Expense,Transport,OLA CABS,Ola Cabs purchase,UPI
2026-02-26,2064.81,Expense,Bills,WATER BILL,Water Bill purchase,Bank Transfer
2026-02-26,475.2,Expense,Transport,PARKING FEE,Parking Fee purchase,Cash
2026-02-26,650.7,Expense,Shopping,AMAZON,Amazon purchase,Bank Transfer
2026-02-27,3057.23,Expense,Education,UDEMY COURSE,Udemy Course purchase,Bank Transfer
2026-03-01,67526.29,Income,Salary,COMPANY PAYROLL,Monthly salary credit,Bank Transfer
2026-03-01,177.43,Expense,Food,BLINKIT,Blinkit purchase,Bank Transfer
2026-03-02,1369.27,Expense,Bills,ELECTRICITY BILL,Electricity Bill,Bank Transfer
2026-03-03,868.98,Expense,Food,CAFE COFFEE DAY,Cafe Coffee Day purchase,UPI
2026-03-03,249.93,Expense,Transport,RAPIDO,Rapido purchase,Bank Transfer
2026-03-05,3380.47,Expense,Bills,GAS CYLINDER,Gas Cylinder purchase,Card
2026-03-05,574.19,Expense,Bills,MOBILE RECHARGE,Mobile Recharge,Bank Transfer
2026-03-06,726.47,Expense,Bills,BROADBAND BILL,Broadband Bill,UPI
2026-03-07,2244.19,Expense,Healthcare,LAB TEST,Lab Test purchase,Bank Transfer
2026-03-07,12000.0,Expense,Bills,RENT PAYMENT,Rent Payment,UPI
2026-03-08,510.01,Expense,Entertainment,AMAZON PRIME,Amazon Prime purchase,Bank Transfer
2026-03-08,5821.95,Expense,Education,COURSERA SUBSCRIPTION,Coursera Subscription purchase,Bank Transfer
2026-03-09,650.51,Expense,Food,CAFE COFFEE DAY,Cafe Coffee Day purchase,Card
2026-03-10,15200.0,Expense,Shopping,FLIPKART,Festival sale big-ticket purchase (synthetic demo anomaly),Card
2026-03-10,529.8,Expense,Entertainment,AMAZON PRIME,Amazon Prime purchase,Bank Transfer
2026-03-11,1480.05,Expense,Shopping,MYNTRA,Myntra purchase,Bank Transfer
2026-03-12,588.51,Expense,Food,MCDONALDS,Mcdonalds purchase,Cash
2026-03-12,307.45,Expense,Food,BIGBASKET GROCERY,Bigbasket Grocery purchase,UPI
2026-03-14,558.6,Expense,Food,CAFE COFFEE DAY,Cafe Coffee Day purchase,Bank Transfer
2026-03-16,1255.96,Expense,Bills,RENT PAYMENT,Rent Payment purchase,Cash
2026-03-16,747.31,Expense,Food,LOCAL GROCERY STORE,Local Grocery Store purchase,Card
2026-03-16,3175.87,Expense,Shopping,AJIO,Ajio purchase,UPI
2026-03-18,179.39,Expense,Entertainment,PVR CINEMAS,Pvr Cinemas purchase,Cash
2026-03-18,525.0,Expense,Transport,PETROL PUMP,Petrol Pump purchase,Card
2026-03-18,422.96,Expense,Food,LOCAL GROCERY STORE,Local Grocery Store purchase,Bank Transfer
2026-03-18,2341.91,Expense,Healthcare,APOLLO PHARMACY,Apollo Pharmacy purchase,Bank Transfer
2026-03-21,1899.74,Expense,Shopping,AJIO,Ajio purchase,Card
2026-03-21,2795.35,Expense,Shopping,MYNTRA,Myntra purchase,Bank Transfer
2026-03-22,2891.93,Expense,Bills,MOBILE RECHARGE,Mobile Recharge purchase,Bank Transfer
2026-03-22,2182.1,Expense,Healthcare,APOLLO PHARMACY,Apollo Pharmacy purchase,UPI
2026-03-22,186.64,Expense,Entertainment,SPOTIFY,Spotify purchase,UPI
2026-03-22,1138.57,Expense,Bills,WATER BILL,Water Bill purchase,Cash
2026-03-23,515.8,Expense,Transport,METRO CARD RECHARGE,Metro Card Recharge purchase,Card
2026-03-23,854.71,Expense,Food,MCDONALDS,Mcdonalds purchase,Bank Transfer
2026-03-23,178.51,Expense,Transport,METRO CARD RECHARGE,Metro Card Recharge purchase,Card
2026-03-24,770.13,Expense,Entertainment,PVR CINEMAS,Pvr Cinemas purchase,Card
2026-03-25,586.61,Expense,Entertainment,PVR CINEMAS,Pvr Cinemas purchase,UPI
2026-03-26,619.06,Expense,Bills,ELECTRICITY BILL,Electricity Bill purchase,Card
2026-03-27,713.3,Expense,Food,ZOMATO,Zomato purchase,UPI
2026-03-28,719.82,Expense,Entertainment,AMAZON PRIME,Amazon Prime purchase,Cash
2026-03-28,514.61,Expense,Entertainment,SPOTIFY,Spotify purchase,Cash
2026-03-29,103.6,Expense,Food,STARBUCKS,Starbucks purchase,UPI
2026-03-30,1194.45,Expense,Shopping,FLIPKART,Flipkart purchase,Bank Transfer
2026-03-30,693.21,Expense,Bills,BROADBAND BILL,Broadband Bill purchase,Cash
2026-04-01,63826.31,Income,Salary,COMPANY PAYROLL,Monthly salary credit,Bank Transfer
2026-04-02,2137.39,Expense,Shopping,RELIANCE TRENDS,Reliance Trends purchase,UPI
2026-04-02,984.07,Expense,Bills,BROADBAND BILL,Broadband Bill,Bank Transfer
2026-04-03,484.09,Expense,Entertainment,SPOTIFY,Spotify purchase,Card
2026-04-04,787.14,Expense,Food,SWIGGY,Swiggy purchase,Card
2026-04-04,4287.99,Expense,Shopping,AJIO,Ajio purchase,Bank Transfer
2026-04-04,1077.86,Expense,Bills,ELECTRICITY BILL,Electricity Bill,UPI
2026-04-06,1228.97,Expense,Healthcare,DOCTOR CONSULTATION,Doctor Consultation purchase,UPI
2026-04-06,4416.14,Expense,Shopping,RELIANCE TRENDS,Reliance Trends purchase,Cash
2026-04-07,432.8,Expense,Bills,MOBILE RECHARGE,Mobile Recharge,UPI
2026-04-07,599.39,Expense,Food,MCDONALDS,Mcdonalds purchase,UPI
2026-04-09,12000.0,Expense,Bills,RENT PAYMENT,Rent Payment,UPI
2026-04-14,374.68,Expense,Entertainment,AMAZON PRIME,Amazon Prime purchase,UPI
2026-04-15,413.83,Expense,Transport,METRO CARD RECHARGE,Metro Card Recharge purchase,Card
2026-04-24,378.7,Expense,Food,BIGBASKET GROCERY,Bigbasket Grocery purchase,UPI
2026-04-25,669.62,Expense,Entertainment,PVR CINEMAS,Pvr Cinemas purchase,UPI
2026-04-25,391.62,Expense,Transport,PETROL PUMP,Petrol Pump purchase,Bank Transfer
2026-04-27,2870.15,Expense,Bills,RENT PAYMENT,Rent Payment purchase,Card
2026-04-27,1149.85,Expense,Bills,WATER BILL,Water Bill purchase,Cash
2026-04-28,1179.27,Expense,Shopping,DECATHLON,Decathlon purchase,Bank Transfer
2026-04-30,246.59,Expense,Transport,RAPIDO,Rapido purchase,Card
2026-05-01,60.54,Expense,Transport,OLA CABS,Ola Cabs purchase,UPI
2026-05-03,1140.67,Expense,Bills,ELECTRICITY BILL,Electricity Bill,Bank Transfer
2026-05-03,66356.4,Income,Salary,COMPANY PAYROLL,Monthly salary credit,Bank Transfer
2026-05-03,167.88,Expense,Food,STARBUCKS,Starbucks purchase,Cash
2026-05-03,440.82,Expense,Entertainment,AMAZON PRIME,Amazon Prime purchase,Bank Transfer
2026-05-03,338.27,Expense,Transport,METRO CARD RECHARGE,Metro Card Recharge purchase,Card
2026-05-04,12000.0,Expense,Bills,RENT PAYMENT,Rent Payment,UPI
2026-05-04,560.88,Expense,Bills,MOBILE RECHARGE,Mobile Recharge,Bank Transfer
2026-05-07,861.57,Expense,Bills,BROADBAND BILL,Broadband Bill,Bank Transfer
2026-05-09,9800.0,Expense,Entertainment,BOOKMYSHOW,Concert tickets for a group (synthetic demo anomaly),Card
2026-05-10,810.23,Expense,Food,CAFE COFFEE DAY,Cafe Coffee Day purchase,Card
2026-05-11,662.96,Expense,Entertainment,BOOKMYSHOW,Bookmyshow purchase,Card
2026-05-12,3315.22,Expense,Education,BOOK STORE,Book Store purchase,UPI
2026-05-13,312.7,Expense,Food,LOCAL GROCERY STORE,Local Grocery Store purchase,Bank Transfer
2026-05-13,835.84,Expense,Shopping,FLIPKART,Flipkart purchase,UPI
2026-05-15,1795.61,Expense,Shopping,FLIPKART,Flipkart purchase,Bank Transfer
2026-05-16,580.79,Expense,Bills,WATER BILL,Water Bill purchase,Bank Transfer
2026-05-16,249.36,Expense,Entertainment,NETFLIX,Netflix purchase,Card
2026-05-22,510.1,Expense,Food,CAFE COFFEE DAY,Cafe Coffee Day purchase,Card
2026-05-23,4371.78,Expense,Shopping,MYNTRA,Myntra purchase,Bank Transfer
2026-05-23,1543.03,Expense,Bills,BROADBAND BILL,Broadband Bill purchase,Bank Transfer
2026-05-24,424.69,Expense,Other,GIFT,Gift purchase,Card
2026-05-24,2423.09,Expense,Bills,BROADBAND BILL,Broadband Bill purchase,Card
2026-05-25,470.92,Expense,Transport,PARKING FEE,Parking Fee purchase,Cash
2026-05-25,309.58,Expense,Food,ZOMATO,Zomato purchase,Cash
2026-05-29,174.17,Expense,Food,STARBUCKS,Starbucks purchase,Card
2026-05-30,2139.02,Expense,Bills,GAS CYLINDER,Gas Cylinder purchase,Card
2026-06-01,198.46,Expense,Other,MISCELLANEOUS,Miscellaneous purchase,Card
2026-06-03,63841.46,Income,Salary,COMPANY PAYROLL,Monthly salary credit,Bank Transfer
2026-06-03,496.64,Expense,Bills,MOBILE RECHARGE,Mobile Recharge,Bank Transfer
2026-06-05,744.1,Expense,Food,DOMINOS PIZZA,Dominos Pizza purchase,Card
2026-06-06,1851.89,Expense,Bills,ELECTRICITY BILL,Electricity Bill,UPI
2026-06-06,940.97,Expense,Bills,BROADBAND BILL,Broadband Bill,Bank Transfer
2026-06-06,12000.0,Expense,Bills,RENT PAYMENT,Rent Payment,Bank Transfer
2026-06-07,366.07,Expense,Food,SWIGGY,Swiggy purchase,Card
2026-06-07,417.71,Expense,Food,BLINKIT,Blinkit purchase,Cash
2026-06-07,3270.97,Expense,Bills,MOBILE RECHARGE,Mobile Recharge purchase,Bank Transfer
2026-06-08,679.31,Expense,Food,SWIGGY,Swiggy purchase,Card
2026-06-08,565.47,Expense,Transport,METRO CARD RECHARGE,Metro Card Recharge purchase,Card
2026-06-11,770.3,Expense,Food,SWIGGY,Swiggy purchase,Card
2026-06-13,534.59,Expense,Healthcare,LAB TEST,Lab Test purchase,UPI
2026-06-15,799.3,Expense,Food,SWIGGY,Swiggy purchase,Cash
2026-06-15,383.24,Expense,Entertainment,PVR CINEMAS,Pvr Cinemas purchase,Bank Transfer
2026-06-17,389.09,Expense,Food,MCDONALDS,Mcdonalds purchase,UPI
2026-06-18,1520.46,Expense,Other,ATM WITHDRAWAL,Atm Withdrawal purchase,Bank Transfer
2026-06-19,4078.21,Expense,Shopping,DECATHLON,Decathlon purchase,Cash
2026-06-20,739.21,Expense,Entertainment,PVR CINEMAS,Pvr Cinemas purchase,Bank Transfer
2026-06-21,2358.61,Expense,Healthcare,MEDICAL STORE,Medical Store purchase,Bank Transfer
2026-06-22,117.99,Expense,Transport,IRCTC TRAIN TICKET,Irctc Train Ticket purchase,UPI
2026-06-23,4054.35,Expense,Shopping,RELIANCE TRENDS,Reliance Trends purchase,UPI
2026-06-23,2003.2,Expense,Healthcare,DOCTOR CONSULTATION,Doctor Consultation purchase,Cash
2026-06-27,547.31,Expense,Food,ZOMATO,Zomato purchase,Cash
2026-06-28,753.43,Expense,Food,BLINKIT,Blinkit purchase,UPI
2026-06-28,170.72,Expense,Food,LOCAL GROCERY STORE,Local Grocery Store purchase,Bank Transfer
2026-06-29,1541.18,Expense,Bills,WATER BILL,Water Bill purchase,Card
2026-06-30,267.99,Expense,Food,MCDONALDS,Mcdonalds purchase,Card
2026-07-01,2013.85,Expense,Bills,BROADBAND BILL,Broadband Bill purchase,Cash
2026-07-01,2505.33,Expense,Bills,WATER BILL,Water Bill purchase,UPI
2026-07-02,63835.68,Income,Salary,COMPANY PAYROLL,Monthly salary credit,Bank Transfer
2026-07-03,1799.96,Expense,Bills,ELECTRICITY BILL,Electricity Bill,UPI
2026-07-05,298.72,Expense,Transport,IRCTC TRAIN TICKET,Irctc Train Ticket purchase,Cash
2026-07-05,3328.67,Expense,Bills,BROADBAND BILL,Broadband Bill purchase,Cash
2026-07-05,953.76,Expense,Bills,BROADBAND BILL,Broadband Bill,Bank Transfer
2026-07-07,12000.0,Expense,Bills,RENT PAYMENT,Rent Payment,UPI
2026-07-07,581.39,Expense,Food,DOMINOS PIZZA,Dominos Pizza purchase,Card
2026-07-08,7600.0,Expense,Transport,IRCTC TRAIN TICKET,Multiple long-distance tickets booked together (synthetic demo anomaly),Card
2026-07-08,373.9,Expense,Bills,MOBILE RECHARGE,Mobile Recharge,UPI
2026-07-09,745.75,Expense,Bills,BROADBAND BILL,Broadband Bill purchase,Bank Transfer
2026-07-09,436.05,Expense,Transport,METRO CARD RECHARGE,Metro Card Recharge purchase,Card
2026-07-09,4174.5,Expense,Shopping,DECATHLON,Decathlon purchase,Card
